Saf_id,Saf_desc
1,Auditoría General de la Nación
101,Fundación Miguel Lillo
103,Consejo Nacional de Investigaciones Científicas y Técnicas
105,Comisión Nacional de Energía Atómica
106,Comisión Nacional de Actividades Espaciales
107,Administración de Parques Nacionales
108,Instituto Nacional del Agua
109,Sindicatura General de la Nación
112,Autoridad Regulatoria Nuclear
113,Teatro Nacional Cervantes
114,Instituto Nacional de Asociativismo y Economía Social
116,Biblioteca Nacional
117,Instituto Nacional del Teatro
118,Instituto Nacional de Asuntos Indígenas
119,Instituto Nacional de Promoción Turística
121,Banco Nacional de Datos Genéticos (BNDG)
173,"Agencia Nacional de Promoción de la Investigación, el Desarrollo Tecnológico y la Innovación"
200,Registro Nacional de las Personas
201,Dirección Nacional de Migraciones
202,"Instituto Nacional contra la Discriminación, la Xenofobia y el Racismo"
203,Agencia Nacional de Seguridad Vial
205,Agencia de Administración de Bienes del Estado
206,Centro Internacional para la Promoción de los Derechos Humanos
207,Ente Nacional de Comunicaciones
208,Agencia Nacional de Materiales Controlados
209,Agencia de Acceso a la Información Pública
250,"Caja de Retiros, Jubilaciones y Pensiones de la Policía Federal Argentina"
301,Secretaría General de la Presidencia de la Nación
302,Agencia Federal de Inteligencia
303,Secretaría de Políticas Integrales sobre Drogas de la Nación Argentina (SEDRONAR)
305,Jefatura de Gabinete de Ministros
307,"Ministerio de Relaciones Exteriores, Comercio Internacional y Culto"
310,Ministerio de Salud
311,Ministerio de Desarrollo Social
312,Senado de la Nación
313,Cámara de Diputados
314,Biblioteca del Congreso
315,Imprenta del Congreso
316,Ayuda Social Personal del Congreso de la Nación
317,Ministerio de Ambiente y Desarrollo Sostenible
319,Defensoría del Pueblo de la Nación
320,Consejo de la Magistratura
321,Instituto Nacional de Estadística y Censos
322,Ministerio de Turismo y Deportes
323,Comisión Nacional de Comercio Exterior
325,Ministerio del Interior
326,Policía Federal Argentina
327,Ministerio de Transporte
328,Secretaría de Energía
330,Ministerio de Educación
331,Servicio Penitenciario Federal
332,Ministerio de Justicia y Derechos Humanos
334,Ente de Cooperación Técnica y Financiera del Servicio Penitenciario Federal
335,Corte Suprema de Justicia de la Nación
336,"Ministerio de Ciencia, Tecnología e Innovación"
337,Ministerio de Cultura
338,Secretaría Legal y Técnica
340,Procuración Penitenciaria de la Nación
341,"Secretaría Nacional de Niñez, Adolescencia y Familia"
343,Ministerio de Seguridad
345,Consejo Nacional de Coordinación de Políticas Sociales
346,Defensoría del Público de Servicios de Comunicación Audiovisual
347,Secretaría de Medios y Comunicación Pública
349,Procuración del Tesoro de la Nación
350,"Ministerio de Trabajo, Empleo y Seguridad Social"
355,Servicio de la Deuda Pública
356,Obligaciones a Cargo del Tesoro
357,Ministerio de Economía
360,Procuración General de la Nación
361,Defensoría General de la Nación
362,Ministerio de Desarrollo Productivo
363,"Ministerio de Agricultura, Ganadería y Pesca"
364,Ministerio de Obras Públicas
365,Ministerio de Desarrollo Territorial y Hábitat
366,Secretaría de Innovación Pública
368,Secretaría de Comunicación y Prensa
369,Oficina de Presupuesto del Congreso
370,Ministerio de Defensa (Gastos Propios)
371,Estado Mayor Conjunto de las Fuerzas Armadas
372,Instituto de Investigaciones Científicas y Técnicas de las Fuerzas Armadas
374,Estado Mayor General del Ejercito
375,Gendarmería Nacional
376,Subsecretaría de Planeamiento Operativo y Servicio Logístico de la Defensa
379,Estado Mayor General de la Armada
380,Prefectura Naval Argentina
381,Estado Mayor General de la Fuerza Aérea
382,Policía de Seguridad Aeroportuaria
386,"Ministerio de las Mujeres, Géneros y Diversidad"
450,Instituto Geográfico Nacional
452,Servicio Meteorológico Nacional
470,Instituto de Ayuda Financiera para Pago de Retiros y Pensiones Militares
602,Comisión Nacional de Valores
603,Superintendencia de Seguros de la Nación
604,Dirección Nacional de Vialidad
606,Instituto Nacional de Tecnología Agropecuaria
607,Instituto Nacional de Investigación y Desarrollo Pesquero
608,Instituto Nacional de Tecnología Industrial
609,Instituto Nacional de Vitivinicultura
612,Tribunal de Tasaciones de la Nación
613,Ente Nacional de Obras Hídricas de Saneamiento
614,Instituto Nacional de Semillas
620,Tribunal Fiscal de la Nación
622,Instituto Nacional de la Propiedad Industrial
623,Servicio Nacional de Sanidad y Calidad Agroalimentaria
624,Servicio Geológico Minero Argentino
651,Ente Nacional Regulador del Gas
652,Ente Nacional Regulador de la Electricidad
656,Organismo Regulador de Seguridad de Presas
661,Comisión Nacional de Regulación del Transporte
664,Organismo Regulador del Sistema Nacional de Aeropuertos
669,Administración Nacional de Aviación Civil
670,Unidad de Información Financiera
671,Junta de Seguridad en el Transporte
802,Fondo Nacional de las Artes
804,Comisión Nacional de Evaluación y Acreditación Universitaria
850,Administración Nacional de la Seguridad Social
852,Superintendencia de Riesgos del Trabajo
902,Hospital Nacional en Red Especializado en Salud Mental y Adicciones 'Licenciada Laura Bonaparte'
903,Hospital Nacional Dr. Baldomero Sommer
904,"Administración Nacional de Medicamentos, Alimentos y Tecnología Médica"
905,Instituto Nacional Central Único Coordinador de Ablación e Implante
906,Administración Nacional de Laboratorios e Institutos de Salud Dr. Carlos G. Malbrán
908,Hospital Nacional Profesor Alejandro Posadas
909,Colonia Nacional Dr. Manuel A. Montes de Oca
910,Instituto Nacional de Rehabilitación Psicofísica del Sur Dr. Juan Otimio Tesone
914,Superintendencia de Servicios de Salud
915,Instituto Nacional del Cáncer (INC)
916,Agencia Nacional de Laboratorios Públicos (ANLAP)
917,Agencia Nacional de Discapacidad
